Age,WorkClass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,class
very-low, Private,medium, 11th,low, Never-married, Machine-op-inspct, Own-child, Black, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Local-gov,high, Assoc-acdm,high, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, >50K.
medium, Private,low, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,low,very-low,low, United-States, >50K.
very-low, Private,very-low, Some-college,medium, Never-married, Prof-specialty, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, 10th,low, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Prof-specialty, Unmarried, Black, Male,very-low,very-low,low, United-States, <=50K.
high, Self-emp-not-inc,very-low, Prof-school,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,low,very-low,low, United-States, >50K.
very-low, Private,high, Some-college,medium, Never-married, Other-service, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
high, Private,very-low, 7th-8th,very-low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-high, Private,low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,low,very-low,low, United-States, >50K.
low, Federal-gov,low, Bachelors,very-high, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
high, Private,medium, HS-grad,medium, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,medium, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,low,very-low,medium, United-States, >50K.
medium, Private,high, Masters,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
very-low, State-gov,high, Some-college,medium, Never-married, Other-service, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Married-civ-spouse, Adm-clerical, Wife, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Widowed, Machine-op-inspct, Unmarried, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, Doctorate,very-high, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,very-low,very-low,medium, United-States, >50K.
low, Private,very-low, Bachelors,very-high, Married-civ-spouse, Tech-support, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Private,medium, Some-college,medium, Never-married, Other-service, Own-child, Black, Female,very-low,very-low,low, United-States, <=50K.
very-high, Private,low, 7th-8th,very-low, Divorced, Prof-specialty, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, Bachelors,very-high, Never-married, Prof-specialty, Not-in-family, White, Male,very-low,very-low,low, Peru, <=50K.
very-low, Private,low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Self-emp-not-inc,high, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,low,very-low,very-high, United-States, >50K.
very-low, Private,medium, HS-grad,medium, Never-married, Adm-clerical, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Separated, Machine-op-inspct, Unmarried, Black, Male,very-low,very-low,medium, United-States, <=50K.
high, Private,very-low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Self-emp-not-inc,very-low, Some-college,medium, Never-married, Prof-specialty, Not-in-family, White, Male,very-low,very-low,high, United-States, <=50K.
medium, State-gov,very-low, Some-college,medium, Married-civ-spouse, Exec-managerial, Husband, Black, Male,low,very-low,low, United-States, >50K.
high, Self-emp-not-inc,low, 11th,low, Widowed, Other-service, Unmarried, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Self-emp-not-inc,low, Bachelors,very-high, Never-married, Sales, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Local-gov,medium, Some-college,medium, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Divorced, Exec-managerial, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-high, Private,low, HS-grad,medium, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Local-gov,high, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Private,medium, 5th-6th,very-low, Never-married, Priv-house-serv, Not-in-family, White, Male,very-low,very-low,medium, Guatemala, <=50K.
very-low, Private,medium, 10th,low, Never-married, Machine-op-inspct, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Craft-repair, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-high, Private,low, Masters,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
medium, Self-emp-inc,very-low, Assoc-voc,high, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Private,high, HS-grad,medium, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, 11th,low, Married-civ-spouse, Other-service, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
