Age,WorkClass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,class
1.0, Private,0.0, HS-grad,2.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,2.0, United-States, <=50K.
0.0, Local-gov,3.0, Assoc-acdm,3.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,1.0, United-States, >50K.
2.0, Private,1.0, Some-college,2.0, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,1.0,0.0,1.0, United-States, >50K.
0.0, Private,0.0, Some-college,2.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,1.0, United-States, <=50K.
1.0, Private,1.0, 10th,1.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,1.0, United-States, <=50K.
0.0, Private,2.0, HS-grad,2.0, Never-married, Prof-specialty, Unmarried, Black, Male,0.0,0.0,1.0, United-States, <=50K.
3.0, Self-emp-not-inc,0.0, Prof-school,4.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,1.0,0.0,1.0, United-States, >50K.
0.0, Private,3.0, Some-college,2.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,1.0, United-States, <=50K.
3.0, Private,0.0, 7th-8th,0.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,0.0, United-States, <=50K.
4.0, Private,1.0, HS-grad,2.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1.0,0.0,1.0, United-States, >50K.
1.0, Federal-gov,1.0, Bachelors,3.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
0.0, Private,0.0, HS-grad,2.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,1.0, United-States, <=50K.
3.0, Private,2.0, HS-grad,2.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
2.0, Private,2.0, HS-grad,2.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1.0,0.0,2.0, United-States, >50K.
2.0, Private,3.0, Masters,4.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,2.0, United-States, >50K.
0.0, State-gov,3.0, Some-college,2.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,0.0, United-States, <=50K.
2.0, Private,0.0, HS-grad,2.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,1.0, United-States, <=50K.
1.0, Private,0.0, HS-grad,2.0, Widowed, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,0.0, United-States, <=50K.
1.0, Private,0.0, Doctorate,4.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,2.0, United-States, >50K.
1.0, Private,0.0, Bachelors,3.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,2.0, United-States, >50K.
1.0, Private,2.0, Some-college,2.0, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,1.0, United-States, <=50K.
4.0, Private,1.0, 7th-8th,0.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,0.0, United-States, <=50K.
0.0, Private,2.0, Bachelors,3.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,1.0, Peru, <=50K.
0.0, Private,1.0, Bachelors,3.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
2.0, Self-emp-not-inc,3.0, HS-grad,2.0, Married-civ-spouse, Craft-repair, Husband, White, Male,1.0,0.0,4.0, United-States, >50K.
0.0, Private,2.0, HS-grad,2.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,0.0, United-States, <=50K.
0.0, Private,1.0, HS-grad,2.0, Separated, Machine-op-inspct, Unmarried, Black, Male,0.0,0.0,2.0, United-States, <=50K.
3.0, Private,0.0, HS-grad,2.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
1.0, Self-emp-not-inc,0.0, Some-college,2.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,3.0, United-States, <=50K.
2.0, State-gov,0.0, Some-college,2.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,1.0,0.0,1.0, United-States, >50K.
3.0, Self-emp-not-inc,1.0, 11th,1.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,2.0, United-States, <=50K.
0.0, Self-emp-not-inc,1.0, Bachelors,3.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,2.0, United-States, <=50K.
0.0, Local-gov,2.0, Some-college,2.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
0.0, Private,0.0, HS-grad,2.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,1.0, United-States, <=50K.
4.0, Private,1.0, HS-grad,2.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States, <=50K.
1.0, Local-gov,3.0, Bachelors,3.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States, >50K.
0.0, Private,2.0, 5th-6th,0.0, Never-married, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,2.0, Guatemala, <=50K.
0.0, Private,2.0, 10th,1.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,1.0, United-States, <=50K.
0.0, Private,2.0, HS-grad,2.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,1.0, United-States, <=50K.
4.0, Private,1.0, Masters,4.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,2.0, United-States, >50K.
